first_name,last_name,date_of_birth,sender_card_number,receiver_cc_number,transaction_amount,transaction_date,is_fraud
Larry Malone,Sarah Brown,1946-03-12,2717411200997921,2720252703946071,76789.11,2022-05-24 05:40:23,0
Kathryn Gutierrez,Joel Lopez,1944-11-14,2435680066057944,2268323080657728,16802.91,2022-03-14 02:55:58,0
Geoffrey Jacobson,Deborah Green,1933-08-30,2703615163304745,2341695469950373,58657.27,2022-10-11 04:32:20,0
Erica Kaufman,Shannon Mcgee,1968-11-09,2240592154711578,2710415599771745,79082.98,2022-04-02 11:51:37,1
Timothy Williams,Roy Singleton,1968-09-16,2228685286919402,2316104538241345,73130.04,2022-04-10 00:56:57,0
James Crawford,Daniel Morgan,2018-10-20,2582974384650030,2575842466441413,27809.82,2022-06-14 23:11:06,0
Brian Cooper,Anthony Sutton,1920-11-11,2230252309897846,5529381517091703,62029.62,2022-02-14 01:42:49,0
Paul Lopez,Stephanie Mitchell,1936-07-31,5149935975496355,2287418161990910,6326.07,2022-07-19 22:37:43,0
Jeffery Jenkins,Leslie Barnes,1973-04-27,2277650631794041,2584407659592478,613.02,2022-02-22 22:48:48,0
Kimberly Wilson,Mario Matthews,2018-05-06,2237306320305511,2255764957357139,65217.46,2022-08-17 07:30:07,0
Shawn Walker,Christopher Mathews,1957-01-11,2718552943600741,2265341845539141,74595.23,2022-02-25 14:52:56,0
Jacqueline Lester,David Oliver,1926-09-05,2692339307336439,2244711474419623,83747.63,2022-03-28 00:21:23,0
Christopher Kent,Colin Vega,1973-04-22,2720011583679131,2720941890890379,39756.42,2022-04-28 23:56:07,0
Penny Johnson,Ryan Larson,1916-10-02,2290819025674084,2710160123706185,14434.18,2022-03-16 20:18:32,0
Rebecca Watkins,Stacy Duran,1914-05-08,2265450038955897,2710105871155622,65037.63,2022-04-05 02:08:14,0
David Wise,Cheryl Patterson,1909-07-11,2477946482153156,2263018332563097,77054.13,2022-07-25 14:34:02,0
Anthony Harvey,Susan Dennis,1975-03-04,5472607339455289,2720251044917411,16141.12,2022-04-23 01:46:03,0
Sherry Woodard,Victoria Hill,1992-03-09,5140729906091669,5366567339482924,53863.93,2022-07-05 17:59:31,0
Jennifer Ashley,Tim Burgess,1945-06-16,2242457112123670,5310108967596243,37031.94,2022-06-07 21:22:16,0
Alexis Lewis,Christine Lewis,1994-02-22,2267091534674109,5125718223006145,72201.07,2022-06-18 02:37:54,0
Bradley Olson,Mary Hartman,1922-12-05,2232104409883721,2290600151032648,37473.04,2022-05-22 02:26:14,0
Chad Guerrero IV,Carlos Calhoun,2011-12-16,2236957706677526,5521124869570546,91022.28,2022-07-04 06:05:37,0
Matthew Gomez,Melissa Peterson,1983-11-12,5307163331328703,2297100828119327,36676.82,2022-10-14 16:07:46,0
Matthew Ryan,Olivia Martin,1995-09-13,2262567532243489,2287373837809921,49170.63,2022-11-09 18:37:22,0
Beth Martin,Charles Dean,1943-08-07,2223108639731452,5528885232459285,42505.17,2022-02-17 03:48:33,0
Willie Payne,Jennifer Howard,1974-01-29,2718306733222756,2255242998389205,43218.62,2022-03-14 21:15:31,0
Anthony Gray,Joshua Velasquez,1980-11-12,2297698265717917,2244339871707364,11717.77,2022-05-13 02:22:54,0
Raymond Johnson,Monica Powers,1993-10-08,2222304589873896,5272592760736567,5500.04,2022-08-18 07:04:48,0
Richard Diaz,Frank Phillips,2021-09-08,2275764539363189,2386936623785156,39591.22,2022-07-21 21:20:09,0
Jason Johnson,Emily Hill,1983-08-27,2250649571943361,2720528718821429,37566.94,2022-11-14 00:56:45,0
Joy Chambers,Krista Romero,1923-02-05,2266014123079838,2248959825582138,30651.43,2022-08-18 19:24:44,0
Jacob Beasley,Matthew Lynch,1951-11-22,2238495802823890,2275650160182875,48606.23,2022-02-12 05:10:15,0
Timothy Sharp,Roberta Reynolds,1968-12-31,2491296806615106,2720873829794416,84152.92,2022-08-03 12:56:20,0
Curtis Anderson,William Meyer,1980-01-03,2248013803863951,5316226194324306,36281.76,2022-07-04 21:25:53,0
Heidi Bowman,Bryan Graham,1961-02-06,2234192980210875,2259687603043710,52671.70,2022-06-07 07:16:01,0
Molly Harris,Carrie Reynolds,1914-02-08,2266793003814113,2562643441148114,8819.85,2022-05-06 02:19:58,0
Daniel Perez,Brian Walters,1919-08-20,5244910483054909,5383718937392440,61540.67,2022-06-28 06:06:30,0
Randy Chen,Jessica Garcia,1940-01-07,2292424030486760,2487246887168646,87846.38,2022-05-05 01:16:15,0
James Sullivan,Nathan Decker,1972-05-26,5586909607363762,2253645922908134,32943.56,2022-09-21 21:12:44,0
Eric Larson,Linda Greer,2017-05-26,2266752353834329,5430582788012272,62524.55,2022-05-08 13:58:43,0
Joy Price,Marcus Davies,1909-03-14,2393566673237310,5363275465494829,83102.98,2022-04-14 21:25:29,0
Pamela Ho,Victor Wiggins,1919-07-12,2280110443577915,2297334271973548,9888.14,2022-08-30 00:13:14,0
James Jones,Madison Burnett,1929-04-01,2569764387981624,2348755138019704,24547.75,2022-05-24 04:43:31,0
Jason Santos,Amanda Blackburn,1986-04-28,5153822534492922,2720279329530674,97557.78,2022-03-03 07:36:04,0
Caitlyn Kaiser,Roger Hayes,1995-10-23,2287288766130851,5185149542232922,58012.08,2022-03-21 12:13:46,0
Ms. Gail Simpson,Bradley Johnson DVM,1963-05-07,2663764887577497,2278201040210713,60537.31,2022-06-02 21:55:13,0
Ryan Johnson,Julian Cooper,2001-11-20,2461155189807068,2706700362112862,17086.51,2022-04-01 17:36:50,0
Jason Curtis,Lisa Lawrence,1970-01-26,2295358484338159,2658746639179737,92346.16,2022-08-30 00:46:07,0
Peter Harrell,Mary Mann,1998-06-02,5576384747339787,2563396591897522,38177.00,2022-08-11 21:20:54,1
Michael Meyers,Desiree Lewis,2014-01-19,5197383332999665,2720560569302175,11448.26,2022-11-03 12:07:50,0
Eric Rivera,Kathleen Hampton,1938-04-15,5394588349269552,2251803489165836,51805.35,2022-04-14 11:44:09,0
Diana Carr,Hannah Clark,1923-03-29,2422864932717486,2299446059182809,47250.59,2022-10-11 18:57:21,0
Peggy Golden,Jessica Johnson,1937-03-30,2720147743886859,2515209978274232,21542.30,2022-07-10 14:33:52,0
Angela Curry,John Gill,1976-10-09,2276894590743539,2710582810596076,44755.90,2022-03-01 10:12:05,0
Mikayla Riggs,James Aguilar DDS,1913-01-10,5525826781528305,5496620546142055,95474.69,2022-05-01 05:46:58,0
Kevin Rogers,Garrett Villegas,1909-01-24,2276326663141499,2399132619019751,42318.27,2022-01-26 00:54:03,0
Elizabeth Garcia,Jordan Rivera,1962-10-09,2461763431347492,5176262295083243,18554.69,2022-07-11 19:30:08,0
Nicole Torres,Audrey Gardner,1942-09-12,5220882129223289,5496670074429127,21735.61,2022-10-21 14:25:40,0
Brianna Hall,Michael Warner,1922-07-05,5466807600236917,2267366635350290,77713.81,2022-07-12 08:27:51,0
Michael Martin,Elizabeth Jones,1982-02-28,2241657777626708,2370336501232173,1729.96,2022-02-21 02:08:29,0
Ariana Wood,Sydney Perez,1969-12-14,2243267172730911,2638832679178790,88783.76,2022-10-30 14:10:06,0
Connie Meyer,Samuel Luna,1940-09-20,2720928723483357,2277359354537039,91904.13,2022-09-19 08:57:26,0
Kellie Brewer,Alexis Collins,1914-09-01,2238592418385890,2236123952120717,16426.66,2022-06-13 06:33:33,0
Craig Acosta,Michael Ward,1979-06-14,5176251790820019,2608051625289587,60801.13,2022-11-12 09:56:22,0
Maria Jordan,Audrey Gregory,2022-08-20,2659148007629055,2278725440201385,3480.93,2022-02-23 12:28:32,0
Jesus Campbell,Nichole Wells,2004-12-24,2720132125170452,2241391823871643,74730.00,2022-11-15 15:26:14,0
Paul Nelson,Billy Pennington,1958-11-21,2248459633294026,2231000039211997,95666.58,2022-04-14 21:19:50,0
Mr. Patrick Flores,Laura Noble,1914-04-11,2296349470558685,2299447549252491,81992.88,2022-04-17 08:33:46,0
Dr. Donald Blevins,Tammy Salazar,1987-03-24,2479668905746378,5453744042643431,33169.74,2022-10-11 11:19:37,0
Adam Smith,Cody Roth,1997-08-27,2268773350263617,2227096075606260,11268.74,2022-04-30 13:26:06,0
Todd Davis,Debbie Montgomery,1967-10-05,5452172529285594,2296254903094136,77436.11,2022-04-13 02:47:48,0
Nancy Burns,Alice Cunningham,1992-01-27,2663943255351913,2672454185880855,36006.84,2022-01-20 21:50:34,0
Alice Aguilar,Joshua Ellis,1922-03-31,2720309542238613,2567695453587188,11951.46,2022-09-06 11:09:11,0
Linda Powell,Anne Fletcher,1913-02-12,2296266734698620,2706755628827828,23677.79,2022-09-22 10:32:10,0
Nicole Anderson,Steve Goodwin,1922-12-28,2241658326322047,2720108317049324,23811.85,2022-09-30 10:19:40,0
Rick Jones,Dalton Green,1917-11-07,2281514640913311,5449124660819133,46838.06,2022-04-11 16:57:40,0
Clinton Garcia,Brian Garcia,2014-06-17,2296329568768164,2277695116128900,55018.73,2022-07-31 20:01:53,0
William Lane,Brooke Lopez,1995-12-15,2228633845554096,5318708439863014,34668.35,2022-08-29 04:30:55,0
Christina Moreno,Molly Rowland,1927-07-03,2719482982239863,2704876008658393,62153.50,2022-10-19 16:00:40,0
Gregory Holmes,Tracey Sullivan,1921-07-14,2544167237746314,2409487544296322,45496.04,2022-09-16 15:17:51,0
Marcus Johnson,Jennifer Foster,1915-07-11,2366472650827988,2641884482773395,29235.64,2022-01-19 10:14:33,0
Tammy Trevino,Lisa Reid,1920-08-15,5559549030489272,2227919352133940,93384.46,2022-04-07 21:01:42,0
Lisa Diaz,Lori Thompson,1940-06-11,5351985413755527,5449266758737311,63167.63,2022-01-19 06:43:52,0
Susan Francis,Joshua Cooke,1988-01-29,2720047041131133,2715696463514551,60799.96,2022-04-06 06:44:28,0
Richard Nichols,Amber Hughes,1909-06-24,5424197527382007,2716643503016055,65220.57,2022-03-13 01:18:51,0
Edward Hogan,Kari Brown DVM,1933-03-16,2271853277264669,5323033550854756,79312.35,2022-11-13 01:02:15,0
Wendy Grant,Gloria Case,1991-04-13,2712618624733485,2666899823940362,3189.38,2022-07-06 06:39:14,0
Anthony Carter,Bryan Reyes,1931-04-11,2284911184116169,2704358338172577,50236.88,2022-06-12 11:46:47,0
Melissa Montgomery,Jason Rodriguez,1963-07-04,2710383225499802,2295520878739165,94191.00,2022-08-31 09:06:57,0
Mario Peck,Natalie Landry,1996-08-21,5463317698585236,5233890367702745,9265.61,2022-03-25 10:04:51,0
Alexander Faulkner,Jason Castillo,1932-07-16,2712272252692470,2253114639097566,34493.15,2022-09-15 21:41:59,0
Meghan Riley,Chloe Richards DDS,2011-12-04,2276493242693638,2701972108967835,59344.68,2022-07-29 22:49:15,0
Paul Cole,Amy Collier,1929-10-15,5476917287600976,5285688647392270,55030.73,2022-03-22 03:57:00,0
William Williams,Kristen Brown,1906-12-25,5112574676170242,2720566352496405,97448.86,2022-05-29 21:44:11,0
David Salas,Victor Fuentes,1935-05-12,2273255515158588,2252070663583296,45535.53,2022-10-23 16:54:28,0
Jennifer Foley,Natalie Rogers,1975-08-17,2284705811681300,2392719292197511,9221.19,2022-10-27 19:11:45,0
Richard Ellis,Kevin Simmons,1922-01-10,5142216986375632,2234010174041726,11358.56,2022-01-18 03:09:26,0
Crystal Brown,Amanda Palmer,1942-07-10,2267557071480589,2402147896578829,11949.32,2022-02-06 22:18:21,0
James Nguyen,Deborah Joyce,1915-02-25,2458022371783199,2273954321958310,77778.89,2022-03-11 18:05:56,0
Isabella Cook,Julie Powell,1958-10-01,5396584298163324,2411068591894783,65684.22,2022-11-11 10:25:20,0
Scott Smith,Teresa Patel,1997-08-15,2224714951070301,2551962558503561,35234.28,2022-05-29 13:52:39,0
Jessica Sheppard,Bruce Moore,2009-04-21,5253885647518049,2248012079634336,6731.39,2022-01-08 05:02:09,0
Andrew Griffin,Erin Erickson,1962-07-30,2647082809986030,2715178065356442,73538.55,2022-09-08 01:55:05,0
Melissa Cooper,Chase Garner,1925-09-30,2259159034775658,2250657850558990,15260.97,2022-11-17 12:50:54,0
Melanie Cole,Jessica Haynes,2013-11-01,5549103314457390,2261628330014232,43693.66,2022-04-23 22:30:38,0
Meghan Bailey,Linda Bailey,1915-03-20,2288523374262301,2228824197351799,7422.85,2022-02-10 11:06:21,0
Angela Williams,Kari Ellison,1907-04-04,2619767290126989,2248718528800605,76710.15,2022-09-22 18:27:13,0
Jennifer Collins,Christopher Preston,1950-04-06,2641086530953090,2707661596545708,37638.35,2022-04-08 16:39:18,0
Kyle Douglas,George Singleton,1962-04-14,5321921669452656,2258801122662634,61914.41,2022-10-06 11:23:52,0
Benjamin Walker,Tyler Evans,1999-11-24,5114050023322826,2226633873601829,80993.67,2022-01-26 17:50:54,0
Angela Vaughn,David Adams,2015-06-26,5522657391092827,2273123000550927,78721.94,2022-06-22 02:33:04,0
Jason Miller,Jessica Martinez,1914-02-07,2226472008980075,2359877863991703,10313.86,2022-06-08 13:19:59,0
Jesse Cox,Karen Baldwin,1926-02-16,5461913473845308,2277768270883816,26663.38,2022-02-28 14:27:06,0
Philip Hopkins,Hannah Vega,1946-09-24,5280735354031941,2720758632113146,17746.43,2022-10-26 12:25:49,0
Jacqueline Ortega,Rebecca Sutton,1937-10-08,2243530526245534,2438543882931188,616.48,2022-10-10 17:07:41,0
Kathleen Cooper,Jorge Ochoa,2006-06-19,2226749506254057,2594828753200551,13323.31,2022-01-25 03:54:33,0
Joy Baxter,Russell Campbell,2009-01-27,2225510567094084,5428134850484734,33997.08,2022-10-02 18:46:43,0
Maureen Brown,Lisa Grant,1993-03-18,2224752963031226,5411035918960939,82496.83,2022-08-06 09:04:45,0
William Roberson,James Adams,1910-02-16,2267738258583805,2407442107563321,44062.39,2022-03-22 08:12:31,0
Mrs. Kimberly Thompson,Amy Dalton,1987-03-27,2275790440212249,2240732214826335,45262.69,2022-02-18 20:27:03,0
Robert Ward,Heather Stark,1996-10-31,5459056937024773,2274309168388536,31961.05,2022-02-19 14:30:16,0
Selena Brown,Barry Smith,1913-04-18,2285256778133322,5508072158043005,45459.26,2022-01-17 03:58:08,0
Jason Freeman,Daniel Moore,1964-06-01,2237458763465235,2717145594099544,13763.14,2022-06-07 17:21:14,0
Christopher Irwin,Donna Winters,1939-08-19,5216133135610192,2324045477735864,66940.49,2022-04-30 00:31:18,0
Tyler Foster MD,Juan Daugherty,1978-01-18,2703393680535858,2642411588420322,42424.98,2022-07-15 06:38:10,0
Robert Alvarez,Jesse Evans,1955-03-15,2228400498905722,2510819335687150,93231.49,2022-02-13 05:46:25,0
Kelli Matthews,Stephanie Fisher,1952-03-03,2271698394797020,2700064631032518,62578.17,2022-08-26 17:33:36,0
David Carter,Zachary Welch,1913-02-02,2455491938207179,5308532166903435,71301.01,2022-01-31 10:34:39,1
Michael Sanford,Ana Rodriguez,1924-08-21,5450720217852109,2235958951131426,8656.70,2022-04-24 11:07:06,0
Lynn Parker,Mariah Hooper,2020-02-26,5284008086485363,2294940220059016,17220.10,2022-02-20 17:21:13,0
Jacob Sharp,James Hogan,1919-03-05,2709194575732863,2658826469297229,26800.51,2022-04-02 15:49:19,1
Danielle Howard,Adam Parker,2020-07-16,2636643228132903,2226739624714405,12528.31,2022-05-03 09:15:45,0
Felicia Reese,Audrey Ryan,1980-10-02,5559161561152608,2704531339482639,69701.25,2022-08-15 00:30:44,0
Dustin Stout,Leah Warner,2006-05-04,2239776958315586,2443956516674540,64793.36,2022-03-26 11:26:56,0
Carolyn David,William Adams,1952-05-01,2263497055867556,2718090579977273,48575.69,2022-03-17 20:22:25,0
Mark Butler,Miss Jessica White DDS,2014-08-21,2341544908506000,2236859932666861,33198.91,2022-01-01 06:38:07,0
Laura Anderson,Sabrina Lutz,2012-02-22,2720745890067544,2717048712719169,71667.81,2022-04-26 06:18:26,0
Laura Harper,Grant Hobbs,1983-01-25,2221497107914423,2227699576172086,7406.98,2022-09-17 07:05:46,0
Terry Hebert,Sandra Howard,1943-04-01,2715874190942284,5411211433618837,72087.92,2022-04-20 06:33:50,0
Steven Taylor,Joshua Stevens,1923-02-08,2276036032809706,2324339110954838,46929.73,2022-04-12 00:23:23,0
Dawn Combs,Jeremy Jackson,1933-04-19,2602992867511038,2279961012796754,91582.62,2022-02-21 11:51:47,0
Charles Middleton,Elizabeth Nielsen,1990-01-22,2720919305901957,2223758703909283,43224.68,2022-11-17 12:58:44,0
James Fitzpatrick,Angelica Liu,2013-11-20,2565824701300879,2222347477797198,11296.59,2022-11-07 20:19:51,0
Julia Martinez,Bridget Clarke,1923-04-26,2246320870853779,5115041546237590,12076.60,2022-08-17 00:20:59,0
John Weaver,Eric Bryant,1909-09-26,5477542143197204,5565917725763123,87394.11,2022-02-08 01:29:27,0
Andrew Boyer,Nicholas Baker,2016-05-06,2605780045899178,2288403057827383,18232.70,2022-10-12 11:30:59,0
Margaret Allen,Devin Gonzalez,1952-07-10,5447967061525176,2657084024875086,20434.85,2022-08-11 10:54:36,0
Jacqueline Spencer,Christopher Haynes,1917-04-30,2265113347476282,2240476569222332,35204.14,2022-06-04 03:26:08,0
Jimmy Dickerson,Nathaniel Wright,1941-08-21,5135133484779653,5143848021801930,63448.01,2022-01-06 13:42:02,0
Heather Fernandez,Douglas Wood,1947-06-14,2519018487834162,5568135073348333,65822.62,2022-07-16 23:03:19,0
Katie Ortiz,Rebecca Gonzalez,2005-05-28,2230535622885765,2650904824877072,16463.08,2022-10-11 23:33:22,0
Stephanie Holt,Erik Smith,2007-06-28,2272813527908266,5193753782326888,70191.38,2022-09-21 07:41:41,0
Lisa Dorsey,Andrew Holland,1965-01-15,2226895965767012,2700100300709802,17615.78,2022-07-03 07:23:09,0
Michael Erickson,Sean Reynolds,1911-05-19,2262124662322905,2286167015004748,29746.94,2022-06-12 01:41:59,0
Rachel Patrick,Dr. Vanessa Jones DVM,1957-03-19,2222585096897770,2317387261572130,76705.95,2022-06-19 05:57:23,0
Rachael Parker,Louis Leblanc,1982-06-20,2691874081863266,2305374118203790,37474.26,2022-05-06 06:53:39,1
John Martin,Antonio Webb,1919-01-22,5266038884057181,2290919740381302,32262.08,2022-07-17 19:16:19,0
Collin Jones,Lauren Farley,1927-01-15,2515619098182117,5280390908055887,74585.30,2022-03-09 15:40:58,0
Megan Aguilar,Justin Thomas,1919-11-07,2295096351096100,2595248753501305,81428.09,2022-04-16 21:17:36,0
Tara Payne,Julie Ware,1945-12-20,2227364158424690,5289467882524285,1912.38,2022-11-19 06:05:38,0
Wendy Wagner,Lori Ross,1951-06-30,2270715565386341,5261590040478300,25653.89,2022-01-17 17:51:37,0
Jessica Davis,Samantha Pace,2021-01-12,2349823260810271,2664531863094998,78121.70,2022-02-08 00:00:51,0
Michael Turner,Jill Dean,1963-07-30,5492851831430723,2525128476633467,67152.81,2022-09-21 08:53:34,0
Meredith Dodson MD,Alfred Mcdonald,1979-02-25,2676519327476345,2287114091657279,98000.26,2022-04-18 10:10:04,0
Robin Lee,Katherine Meyer,1972-03-02,2392142842421093,2264006063493682,11640.23,2022-05-12 05:01:04,0
Mark Williams,Joshua Clark,1981-02-20,2525454953198927,2274949669975412,71700.81,2022-09-19 19:09:09,0
Ryan Graham MD,Robert Dickerson,1924-04-30,2720329456340411,2297552447935691,36265.23,2022-01-10 07:51:21,0
David Hunter,Jessica Welch,1989-11-25,2720035081831688,2720865275515220,28178.11,2022-04-17 09:23:37,0
Hannah Smith,Amanda Harris,1940-04-03,2702293166313310,5355863673775640,42078.43,2022-02-28 02:38:26,0
Melissa Booth,Lisa Maddox,2009-11-05,2275320467529760,2242661969401515,75991.13,2022-06-14 08:03:00,0
Melissa Graham,Connie Smith,2010-01-09,2247830812019163,2253029711263144,17810.04,2022-05-05 22:47:47,0
Mr. Kevin Bradshaw DDS,Andres Smith,1957-10-01,2720387236624256,2221640071522819,40670.58,2022-01-19 13:06:50,0
Stephanie Gay,Terri Phelps,1960-09-18,2273234306765240,5187796311458217,74414.46,2022-05-20 00:01:47,0
Jeffrey Anderson,Sarah Rose,1987-07-10,5207987520087717,2250548624414489,70074.06,2022-11-08 21:12:56,0
Paul Romero,Mr. William Jenkins DDS,1943-12-28,5455105177326812,2510435224866522,85840.29,2022-01-14 14:37:16,0
Donald Fernandez,James Bright,1962-05-27,5418539787597519,2289508542595004,28929.65,2022-08-12 21:42:25,0
Jennifer Williams,Brittany Drake,1973-02-07,2282609946155333,2278222157868564,57347.54,2022-11-13 00:16:25,0
Amy Gamble,Rita Colon,1995-01-22,2229074556746374,2231282450804449,17673.31,2022-06-28 21:42:11,0
Brittany Tran,Jesse Ross,2016-10-26,2305009538922021,2528528079137963,7744.56,2022-06-18 12:30:52,0
Timothy Mercer,John Summers,2016-02-04,2248347974994322,5169930739246431,87755.39,2022-04-02 21:22:46,0
Stephanie Newman,Douglas Rogers,1985-02-09,2253437826971578,2720885818767443,25368.15,2022-03-05 01:57:07,0
Dustin Allen,John Kim,1920-07-26,2221322860715108,2482201826139245,47769.30,2022-10-13 06:42:18,0
Jose Walker,Stephen Fletcher,1914-02-21,2279523214604341,2279371890014686,25625.37,2022-11-10 23:15:52,0
Alexander Ellis,Robert Smith,1930-01-04,2285029208799966,5262337424613758,68405.36,2022-01-29 02:57:16,0
James Rojas,George Dunn,1951-01-15,2284694631775551,2289179519897052,9557.39,2022-07-30 18:46:24,0
Troy Dorsey,Shane Kelly,1933-02-21,2657522412788403,2276348566176364,28053.39,2022-08-10 18:07:12,0
Robert Farrell,Chad Gilmore,2018-08-28,2297946372898090,2227929591243764,26032.72,2022-06-09 16:30:41,0
Stephen Dennis,Breanna Hicks,1909-03-15,2531834832375709,5137518939693160,67739.18,2022-11-14 08:31:36,0
James Hernandez,Jenna Schmidt,1955-06-10,2537717803987178,2297996381174017,84911.11,2022-07-18 15:53:11,0
Dakota Newman,David Brady,1989-10-13,2524699128852979,2717076293835427,21152.86,2022-11-01 03:32:41,0
Jennifer Kennedy,Marcus Lynn,1919-09-17,2284037924912756,2719042378405286,935.77,2022-05-02 01:41:55,0
Wendy Perry,Cynthia Castro,2008-06-10,2389681961753989,2389687289968126,6852.89,2022-09-15 23:56:06,0
Eric King,Ryan Crane,1917-09-05,2708006050146248,2254172803859806,52703.24,2022-09-03 15:54:58,0
Emily Odom,Carlos Phillips,1939-03-19,2531588260580392,2419510145606231,83375.62,2022-04-12 19:06:27,0
Michael Juarez,Brenda Joseph,1967-12-05,5406908160098227,2706875024323865,71412.61,2022-06-08 18:11:11,0
Janet Johnson,Crystal Spencer,1921-02-16,5104834054746579,2277925896248101,96342.97,2022-02-04 05:43:52,0
Kim Williams,Thomas Roberts,1936-01-13,5163759990666995,2238103131843635,27308.31,2022-08-15 13:40:53,0
Miss Michelle Rowe,Thomas Garcia,1998-12-09,2678536870727211,2240533790225524,96605.19,2022-03-27 16:09:23,0
Nicole Martin,Randy Melendez,2002-02-05,2720913136134490,2526131484686948,84962.60,2022-03-11 19:57:18,0
Ashley Carpenter,James Sanford,2007-09-04,5337230828644480,5284763700740466,28457.58,2022-02-20 11:17:53,0
Daniel Jackson,Stephanie Peterson,1940-04-08,2437206667092300,2551941982589057,89201.26,2022-04-27 12:23:34,0
Joseph Mahoney,Amanda Dixon,1991-02-15,2266041495437112,5504909224613721,54554.22,2022-05-31 13:06:52,0
Samantha Lowery,Mrs. Dana Riddle,1931-07-08,5194786482180329,2591974374901210,3955.04,2022-02-18 09:20:00,0
Joel Garcia,Cassie Bates,1982-02-09,2292006456632173,5321137480364489,61530.54,2022-04-17 07:28:50,0
Kathryn Hernandez,Julie Madden,1975-07-23,2288634238684802,2257287505695782,56714.01,2022-05-27 20:21:21,0
Alexander Solis,Sean Rowe,1960-04-18,5401226712559223,2230727144063662,62315.36,2022-11-17 21:52:34,0
Robert Boyd,Garrett Hall,1929-02-06,2661691313425441,2280544057753067,35414.26,2022-02-20 12:34:31,0
Kelly Barker,Taylor Barton,1922-04-25,2226046111321532,5332482629887793,9349.74,2022-11-07 11:32:20,0
Roberto Hubbard,Brian Francis,1936-01-20,5226166799924044,2715735285445147,38923.00,2022-08-19 07:39:54,0
Dr. Gregory Day,Kelly Jones,1974-10-04,2720659627722034,2286445669168377,32701.03,2022-08-23 18:12:41,0
Christopher Middleton,Joseph Clarke,1947-10-26,2246407704967261,5459927442259379,82560.58,2022-07-13 00:02:40,0
Sabrina Gardner,Steven Olson,1962-01-23,2228528278306958,2227823284117288,72795.87,2022-05-11 01:35:08,0
Robert Hill,Molly Velez,1985-02-11,2720359306521050,2441873955691392,40649.53,2022-03-30 22:33:20,0
Jessica Lopez,Abigail Jackson,1924-03-02,5595633735035592,2518611307066824,34081.85,2022-06-15 01:07:06,0
Mark Moore,Tyler Davis,1998-11-29,2287727578059923,2714784693821490,33669.63,2022-02-28 13:30:01,0
Nicholas Green,Shelby Gonzalez,1967-08-02,2270659772106102,5438485210107227,47802.88,2022-09-21 10:47:02,0
Christopher Fitzgerald,Tyler Gonzalez,1950-09-10,2229776165098936,2616661635592364,47915.57,2022-07-16 23:41:42,0
Shannon Fischer,James Ortega,1943-01-06,2280137209622627,2699245754356304,57582.37,2022-04-25 21:32:01,0
Rebecca Welch,Charles Taylor,1907-11-12,2250725462197026,2707646316518036,41743.71,2022-08-17 08:05:36,0
Kelsey Ramos,Michele Harrison,1935-05-31,2275313115239270,2703353437307878,51812.28,2022-01-28 16:36:04,0
Brandon Smith,Ryan Robertson,1925-09-25,2263569022151056,2223388859317006,92258.21,2022-09-09 19:32:00,0
Danielle Simon,Kevin Flores,1946-03-13,2706451045697248,2362293305785254,32810.12,2022-04-11 05:07:55,0
Brittany Sullivan,Jamie Glenn,1918-01-11,2247326444182800,2274015360633229,28135.47,2022-04-15 10:05:57,0
Cameron Lee,Brandon Jimenez,1920-06-25,2354864642959271,5130810596714620,82316.08,2022-09-23 07:52:45,0
William Mcmahon,Anthony Lewis,1915-04-05,2249604805154628,2717046633940419,85228.31,2022-06-28 07:30:53,0
Samantha Simmons,Kyle Mcguire,1936-07-04,2283594012967457,2705974345185169,44561.21,2022-05-19 15:46:55,0
Robert Martin,Jenna Newman,1915-12-09,2348838328605522,2588423929919728,98902.19,2022-08-23 09:51:45,0
Patricia Williams,Nicholas Francis,1936-09-18,2383869486709554,2283185757637148,93231.24,2022-01-12 21:12:12,0
Erika Pittman,Christine Payne,1976-01-01,2235402873175765,2227075248989613,50114.06,2022-09-18 08:49:46,0
Jenna Bean,James Wood,1915-05-16,2595903117818585,2249277821497980,47662.14,2022-07-19 06:51:05,0
Michelle Curry,Scott Hicks,1925-12-24,2658556431426651,2715763820215106,66619.30,2022-07-25 02:41:46,0
Danielle Evans MD,Mark Bishop,2015-06-20,5533211658667272,2242400151459209,1631.35,2022-01-26 00:16:31,0
Adam Brown PhD,Jared Rodriguez,1984-01-15,2267689140067939,2713293447066593,94922.54,2022-03-06 09:32:01,0
Keith Ramirez,Rachel Scott,1976-01-11,2258880452295413,2268172889456919,55068.35,2022-08-17 20:10:19,0
Megan Garcia,Patrick Smith,1994-02-03,5317440455743539,2392228837584464,18371.94,2022-08-16 20:03:49,0
Gregory Mack,Justin Wood,1995-04-14,2297736251478878,2303160350854792,90446.32,2022-08-11 04:16:57,0
Elizabeth Townsend,Lori Atkinson,1966-11-06,2291832766162200,2232549693330260,15282.11,2022-10-08 15:25:14,0
Dr. Willie Mann,Margaret Henderson,1939-10-21,2257950512356942,5159812828347274,45175.34,2022-10-25 18:18:17,0
Julie Mcmahon,Brian Clark,1935-05-21,2261960571940019,2297434845895910,16800.57,2022-02-20 00:11:22,0
Tammy Cohen,Victoria Perez,2004-02-10,2245757208057691,2291308123476880,4858.46,2022-05-20 13:38:51,0
Aaron Bradley,Kelly Cruz,1964-06-26,2247218318103659,2703601927029976,65670.42,2022-03-19 06:41:40,0
